order,property,displayLabel,family,confidence,tbiUse,source
19,DamageTakenWhileBerserked,Damage Taken While Berserked,Survival / Damage Blocked / Regen,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
20,DamageGainFromBerserk,Damage Gain From Berserk,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
21,DeathDefy,Death Defy,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
22,Lifesteal,Lifesteal,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
23,TowerHealthRegen,Tower Health Regen,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
24,WallHealthRegen,Wall Health Regen,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
25,DefensePercentBlocked,Defense Percent Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
26,DefenseAbsoluteBlocked,Defense Absolute Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
27,ChronoFieldBlocked,Chrono Field Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
28,ChainThunderBlocked,Chain Thunder Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
29,FlameBotBlocked,Flame Bot Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
30,PrimordialCollapseBlocked,Primordial Collapse Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
31,MagicOrbBlocked,Magic Orb Blocked,Survival / Damage Blocked / Regen,High,Useful for survival diagnosis and why a run held/folded.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
32,EnergyShieldHitsAbsorbed,Hits Absorbed By Energy Shield,Survival / Damage Blocked / Regen,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
33,HealthFromDeathWaveThisRound,HP From Death Wave,Survival / Damage Blocked / Regen,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
34,DamageDealt,Damage Dealt,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
35,ProjectilesDamage,Projectiles Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
36,ProjectilesCount,Projectiles Count,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
37,ThornDamage,Thorn Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
38,OrbDamage,Orb Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
39,ElectronsDamage,Electrons Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
40,LandMineDamage,Land Mine Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
41,LandMinesSpawned,Land Mines Spawned,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
42,RendArmorDamage,Rend Armor Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
43,DeathRayDamage,Death Ray Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
44,SmartMissileDamage,Smart Missile Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
45,InnerLandMineDamage,Inner Land Mine Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
46,ChainLightningDamage,Chain Lightning Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
47,DeathWaveDamage,Death Wave Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
48,TaggedByDeathwave,Enemies Tagged By Death Wave,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
49,SwampDamage,Swamp Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
50,BlackHoleDamage,Black Hole Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
51,DestroyedInSpotlight,Destroyed In Spotlight,Enemies Destroyed By / Effect Active,High,Useful for effect-window kills; separate from direct kill source.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
52,DestroyedInGoldenTower,Destroyed In Golden Tower,Enemies Destroyed By / Effect Active,High,Useful for effect-window kills; separate from direct kill source.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
53,DestroyedInAmplifyBot,Destroyed In Amplify Bot,Enemies Destroyed By / Effect Active,High,Useful for effect-window kills; separate from direct kill source.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
54,DestroyedInGoldenBot,Destroyed In Golden Bot,Enemies Destroyed By / Effect Active,High,Useful for effect-window kills; separate from direct kill source.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
55,OrbHits,Orb Hits,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
56,EnemiesHitByProjectilesThisRound,Enemies Hit By Projectiles,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
57,EnemiesHitByThornsThisRound,Enemies Hit By Thorns,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
58,EnemiesHitByDeathRayThisRound,Enemies Hit By Death Ray,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
59,EnemiesHitByChainLightningThisRound,Enemies Hit By Chain Lightning,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
60,EnemiesHitBySmartMissilesThisRound,Enemies Hit By Smart Missiles,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
61,EnemiesHitByInnerLandMinesThisRound,Enemies Hit By Inner Land Mines,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
62,EnemiesHitByPoisonSwampThisRound,Enemies Hit By Poison Swamp,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
63,EnemiesHitByBlackHoleThisRound,Enemies Hit By Black Hole,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
64,EnemiesHitByChronoFieldThisRound,Enemies Hit By Chrono Field,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
65,EnemiesHitByLandMineThisRound,Enemies Hit By Land Mine,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
66,EnemiesHitByThunderBotThisRound,Enemies Hit By Thunder Bot,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
67,EnemiesHitByFlameBotThisRound,Enemies Hit By Flame Bot,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
68,EnemiesHitByAttackChipThisRound,Enemies Hit By Attack Chip,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
69,EnemiesHitByOrbitalAugmentThisRound,Enemies Hit By Orbital Augment,Enemies Hit By,High,"Useful for effect coverage diagnostics: what touched enemies, not necessarily what killed them.",BattleHistoryEntry metadata; display label from localization where available or inferred from property name
70,WavesSkipped,Waves Skipped,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
71,NukesUsed,Nukes Used,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
72,SecondWindsUsed,Second Winds Used,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
73,DemonModesUsed,Demon Modes Used,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
74,LargestWaveSkip,Largest Wave Skip,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
75,MostCoinsFromWaveSkip,Most Coins From Wave Skip,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
76,MostCellsFromWaveSkip,Most Cells From Wave Skip,Currencies / Rewards,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
77,MostCoinsFromGoldenCombo,Most Coins From Golden Combo,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
78,HighestCPM,Highest Coins / Minute,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
79,LargestSmartMissileStack,Largest Smart Missile Stack,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
80,LargestGoldenCombo,Largest Golden Combo,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
81,LargestILMCharge,Largest Inner Landmine Charge,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
82,RecoveryPackages,Recovery Packages,Survival / Damage Blocked / Regen,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
83,FreeAttackUpgrades,Free Attack Upgrades,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
84,FreeDefenseUpgrades,Free Defense Upgrades,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
85,FreeUtilityUpgrades,Free Utility Upgrades,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
86,AttackLevelSkips,Attack Level Skips,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
87,HealthLevelSkips,Health Level Skips,Records / Utility / Counts,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
88,CoinsFromDeathWave,Coins From Death Wave,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
89,CoinsFromGoldenTower,Coins From Golden Tower,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
90,CoinsFromGoldenTowerPlus,Coins From Golden Tower Plus,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
91,CashFromGoldenTower,Cash From Golden Tower,Currencies / Rewards,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
92,CoinsFromBlackHole,Coins From Black Hole,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
93,CoinsFromSpotlight,Coins From Spotlight,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
94,CoinsFromOrbs,Coins From Orbs,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
95,CoinsFromCoinUpgrade,Coins From Coin Bonus Upgrade,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
96,CoinsFromCoinBonuses,Other Coin Bonuses,Currencies / Rewards,High,Separate economy misc bucket; label as Other Coin Bonuses.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
97,CoinsFromCritCoin,Coins From Critical Coin,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
98,TotalEnemies,Total Enemies,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
99,TotalBasic,Total Basic,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
100,TotalFast,Total Fast,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
101,TotalTank,Total Tank,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
102,TotalRanged,Total Ranged,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
103,TotalBoss,Total Boss,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
104,TotalProtector,Total Protector,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
105,TotalElites,Total Elites,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
106,TotalVampires,Total Vampires,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
107,TotalRays,Total Rays,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
108,TotalScatters,Total Scatters,Enemy Counts / Kills Breakdown,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
109,TotalSaboteurs,Total Saboteurs,Enemy Counts / Kills Breakdown,High,Newer elite/enemy subtypes; add parser support before users paste reports containing them.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
110,TotalCommanders,Total Commanders,Enemy Counts / Kills Breakdown,High,Newer elite/enemy subtypes; add parser support before users paste reports containing them.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
111,TotalOvercharges,Total Overcharges,Enemy Counts / Kills Breakdown,High,Newer elite/enemy subtypes; add parser support before users paste reports containing them.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
112,DestroyedByOrbs,Destroyed By Orbs,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
113,DestroyedByThorns,Destroyed By Thorns,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
114,DestroyedByDeathRay,Destroyed By Death Ray,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
115,DestroyedByLandMine,Destroyed By Land Mine,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
116,DestroyedByProjectiles,Destroyed By Projectiles,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
117,DestroyedByChainLightning,Destroyed By Chain Lightning,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
118,DestroyedBySmartMissiles,Destroyed By Smart Missiles,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
119,DestroyedByInnerLandMines,Destroyed By Inner Land Mines,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
120,DestroyedByPoisonSwamp,Destroyed By Poison Swamp,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
121,DestroyedByBlackHole,Destroyed By Black Hole,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
122,DestroyedByFlameBot,Destroyed By Flame Bot,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
123,DestroyedByDeathPenalty,Destroyed By Death Penalty,Enemies Destroyed By / Effect Active,High,Useful for kill-credit diagnostics: what actually finished enemies.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
124,DestroyedByOther,Other,Enemies Destroyed By / Effect Active,High,Treat as uncategorised kill-source bucket; do not merge with Other Coin Bonuses.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
125,FlameBotDamage,Flame Bot Damage,Damage Output,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
126,ThunderBotStuns,Thunder Bot Stuns,Bots,High,,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
127,GoldenBotCoinsEarned,Golden Bot Coins Earned,Currencies / Rewards,High,Useful for economy attribution and Compare family totals.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
128,GuardianDamage,Guardian Damage,Damage Output,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
129,GuardianSummoned,Guardian Summoned,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
130,GuardianCoinsStolen,Guardian Coins Stolen,Currencies / Rewards,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
131,GuardianCoinsFetched,Guardian Coins Fetched,Currencies / Rewards,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
132,GuardianCatches,Guardian Catches,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
133,GuardianGems,Guardian Gems,Currencies / Rewards,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
134,GuardianMedals,Guardian Medals,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
135,GuardianRerollShards,Guardian Reroll Shards,Currencies / Rewards,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
136,GuardianCannonShards,Guardian Cannon Shards,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
137,GuardianArmorShards,Guardian Armor Shards,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
138,GuardianGeneratorShards,Guardian Generator Shards,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
139,GuardianCoreShards,Guardian Core Shards,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
140,GuardianCommonModules,Guardian Common Modules,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
141,GuardianRareModules,Guardian Rare Modules,Guardian,High,Useful for Guardian-era report support and future Command Deck/Systems analysis.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
142,DissonanceType,Dissonance Type,Run Header / Identity,High,Useful for future Dissonance run support and report filtering.,BattleHistoryEntry metadata; display label from localization where available or inferred from property name
