category,categoryLabel,source,line,text
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,4853,Reduce how many waves to activate a new perkI
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5147,All players will play on specific tiers for each tournament rank.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5511,Chance for a Recovery Package to spawn each Wave.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5542,Wave Skip
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5578,"Chance to Skip Wave, granting 1.1x previous Wave Cash & Coins, of"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5646,Skips 10 Waves at a time for the first {0} Waves (capped at your Highest Wave). Bosses spawn every Wave and no Coins are granted during Intro Sprint
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5719,Unlock Interest / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5766,Unlock Shockwave Upgrades
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,5923,Increase shockwave size
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6000,"You are participating in a tournament, reach the highest wave you can to get a good ranking positionh"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6054,"After a boss wave, a recovery package is guaranteed to spawn<"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6059,Nach einer Bosswelle spawnt garantiert ein Erholungspaket
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6240,Complete missions to earn medals. Each mission has 3 tiers:
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6283,limitiert
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6391,Reach wave {0} on any tier
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6401,Reach wave {0} on your max tier without any card equipped
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6428,Keep {0} consecutive waves getting max Interest
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6443,Take no damage for {0} consecutive waves9
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6592,Kill {0} enemies with Death Wave)
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6686,Skip a total of {0} waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,6813,Limitiert
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,7080,Wave Accelerator
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,7086,Reduces Wave Cooldown by {0} seconds?
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,7438,Previous round ended because you did not progress {0} waves past previous load
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,7501,for tier {0} through tier {1}
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,7542,You need the Death Wave Ultimate Weapon to research thisH
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,7835,Increase recovery package chance of spawning each wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,8142,Wave timer
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,8148,Wave cooldown
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,8162,Wave Info
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,8413,On Wave End: Chance to skip Enemy Attack scaling.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,8425,On Wave End: Chance to skip Enemy Health scaling.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,8521,Tier {0} unlocked
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9021,Death Wave Damage
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9044,Waves Skipped
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9066,HP From Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9074,Coins From Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9205,Wave Skip!
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9397,Advance through a total of {0} waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9540,Gain a {0} chance of skipping waves while still earning cash and coins equal to x1.10 the value of the wave enemies
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9920,Wave Jumps
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9927,Waves go up by {0} instead of 1
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,9947,Bosses spawn every {0} waves instead of 10
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10449,"Beat wave 4,500 in Tier 1"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10462,"Beat wave 4,500 in Tier 2"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10475,"Beat wave 4,500 in Tier 3"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10488,"Beat wave 4,500 in Tier 4"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10501,"Beat wave 4,500 in Tier 5"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10514,"Beat wave 4,500 in Tier 6"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10527,"Beat wave 4,500 in Tier 7"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10540,"Beat wave 4,500 in Tier 8"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10553,"Beat wave 4,500 in Tier 9"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10566,"Beat wave 4,500 in Tier 10"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10582,"Beat wave 4,500 in Tier 11"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10598,"Beat wave 4,500 in Tier 12"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10614,"Beat wave 4,500 in Tier 13"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10630,"Beat wave 4,500 in Tier 14"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,10646,"Beat wave 4,500 in Tier 15"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11028,On Chain Lightning Hit: {0}% chance to deal {1}% Current Wave HP Damage (Max 100 Hits/Enemy).
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11067,Spawn an additional Killing Wave that deals damage equal to the current wave HP and persists until it hits {0} enemies
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11171,On End: Deals {0}% Current Wave HP Damage to trapped Enemies in Black Hole.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11549,Retrowave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11550,Synthwave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11551,Retrowave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11552,Retrowave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11553,Retrowave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11727,Gain a {0} chance of skipping waves while still earning cash and coins equal to x1.10 the value of the wave enemies
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11796,Reduce the cooldown between waves by {0}6
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11857,Tiers
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11902,through Tier {0} to Tier {1}
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11921,"Unlock premium on tier {0}, tier {1}, and tier {2}"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,11979,sse garantiert superkrit.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,12016,Grants +{0} Coins / Kill Bonus per Free Upgrade this Wave. Free Upgrades cannot increase Tower Range.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,12043,"Sync Death Wave, Golden Tower, & Black Hole activations. Cooldown becomes the average of those {0}."
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,12338,You need the Death Wave Ultimate Weapon to research thisH
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,12536,Reach wave {0} without any card equipped on tier {1} or above
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,12746,Hit {0} enemies with Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,13215,On Shockwave Hit: Enemies take {0} more Damage for 7s.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,13334,Der Scheinwerfer fokussiert den Boss. Der Boss reflektiert Licht und verursacht {0} zus
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,13670,"ltst, wird ein episches Modul garantiert"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,13971,The Heat will level up as you reach higher waves.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14005,Heat will rise at specific waves:
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14261,Earn {0} medals during the Retrowave event
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14264,nement Synthwave.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14265,Guadagna {0} medaglie durante l'evento Retrowave4
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14267,hrend des Retrowave-Events.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14268,Gana {0} medallas durante el evento Retrowave.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14272,Retrowave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14417,Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14553,Second Wind will recharge after a number of waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14566,Demon Mode will recharge after a number of wavesE
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14582,Missile Barrage will recharge after a number of waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,14670,Nuke will recharge after a number of waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,15934,Wave Skipped!
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,16160,"Beat wave 4,500 in Tier 16"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,16177,"Beat wave 4,500 in Tier 17"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,16194,"Beat wave 4,500 in Tier 18"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,16351,"Protector shields give knockback, shockwave, and black hole damage immunity ({0}s Duration / 300s Cooldown)"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,16741,Unlock Tier {0}
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,16836,Death Wave researches
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,17154,"Du wurdest von Turnieren gesperrt. Falls du glaubst, dass das ein Fehler war, kontaktiere bitte {0}"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,17189,{0} waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,17354,Bonus from Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,17648,Unlock by reaching tier {0} wave {1}B
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,18607,You need the Double Wave Skip Mastery to research this
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19180,Adds a distinct chance to double wave skip and unlocks Double Wave Skip research. This chance can be stacked with other skips
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19195,Dramatically increase how many waves Intro Sprint stays active and unlocks Warp Speed Mastery research
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19319,"Unlocks a lingering health regen buff when activated which lasts for 400 waves, and unlocks Angel Wings research"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19342,"Unlocks a lingering damage buff when activated which lasts for 300 waves, and unlocks Demon Revenge research"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19399,"Increases the rate at which spawn rates accelerate causing more enemies to spawn in earlier waves, and unlocks Wave Accelerator Mastery research"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19468,Unlocks a lingering attack speed slow which lasts for 300 waves after the nuke and unlocks Radiation research.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19663,Percent chance to double wave skip
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19672,Increases how many waves Intro Sprint stays active
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,19800,Slows enemy attack speed for 300 waves
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20044,Increases double wave skip chance
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20150,Increases the Wave Accelerator spawn rate acceleration
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20333,Double Wave Skip
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20587,Wave Skip Mastery
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20676,Wave Accelerator Mastery&
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20746,Increase tower max health by 0.05% when an enemy is hit by Effect Waves or Death Wave is destroyed (Max of {0} base health)
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20775,Extra coins bonus applied to enemies hit by Effect Waves or Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20787,Extra cells bonus applied to elites hit by Effect Waves or Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20803,Each Effect Wave hit amplifies damage that enemy takes from Death Wave (additively)
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20814,Each Effect Wave hit strips armor from the enemy1
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20822,Death Wave Cells Bonus
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20831,Death Wave Damage Amplifier
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20841,Death Wave Armor Stripping
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,20858,Effect Wave Hits amplify Death Wave Damage (additive).
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,21205,Reach wave {0} without any card equipped on tier {1} or above
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,24728,Tower guardian increases the speed of the wave timerC
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25227,Ce jeu utilise des services d'analyse et de pub de tiers.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25453,Es existiert bereits ein Konto mit der Spieler-ID {0}.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25563,Tier 2 Power Tree
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25586,Tier 3 Power Tree
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25690,Shockwave Frequency
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25699,-{0}s to shockwave frequency%
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25739,Interest / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25747,{0}% boost to interest / wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25811,Cash / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25818,{0}% boost to cash / wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25877,Coins / Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,25884,{0}% boost to coins / wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,26484,Tier {0} Power Tree requires {1} power nodes be unlocked and {2} tier 2 levels
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,27040,Es existiert bereits ein Konto mit dieser E-Mail-Adresse.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,27417,"Active Battle: Tier {0}, Wave {1}"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,27479,Tier {0} Power Tree requires {1} power nodes be unlockedT
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,28012,Sentiero sicuro
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,28380,Beat wave 30 to unlock Labs!3
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29535,Decreases Ray enemy attack at all waves.<
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29544,Decreases Ray enemy health at all waves.>
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29554,Decreases Vampire enemy attack at all waves.4
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29562,Decreases Vampire enemy health at all waves.6
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29571,Decreases Scatter enemy attack at all waves.3
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29579,Decreases Scatter enemy health at all waves.5
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,29588,Decreases Ranged enemy range at all waves.
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30207,Beat wave {0} in Tier {1}
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30382,Surviving enemies mass increases by {0} per wave they are alive
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30424,Reach Tier 19 Wave 40 to unlock Assist Modules
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30496,"Capped Substats: Shockwave Frequency, Wall Rebuild. Chrono Field Speed Reduction, Inner Land Mine Cooldown"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30531,"Beat wave 4,500 in Tier 19"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30548,"Beat wave 4,500 in Tier 20"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30565,"Beat wave 4,500 in Tier 21"
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,30638,Gib {0} zum Akzeptieren ein.*
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,31211,Max Wave	
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,31316,Tagged by Death Wave!
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,31322,Death Wave
wave_tier_milestones,"Waves, tiers, milestones, and run bands",assets,31435,"Battle History keeps track of your last 30 runs, including tier and tournament battles. You can click on an entry to view the end of round stats from that attempt."
