source,line,kind,text
asset,11067,localization/ui,Spawn an additional Killing Wave that deals damage equal to the current wave HP and persists until it hits {0} enemies
asset,11171,localization/ui,On End: Deals {0}% Current Wave HP Damage to trapped Enemies in Black Hole.
asset,11253,localization/ui,Battle Heat adds special conditions to battles that increase the difficulty
asset,11266,localization/ui,Battle Heat
asset,11267,localization/ui,Battle Heat
asset,11269,localization/ui,Press the Heat button to view the conditions before entering battle
asset,11319,localization/ui,Boss Damage
asset,11322,localization/ui,Boss-Schaden
asset,11549,localization/ui,Retrowave
asset,11550,localization/ui,Synthwave
asset,11551,localization/ui,Retrowave
asset,11552,localization/ui,Retrowave
asset,11553,localization/ui,Retrowave
asset,11727,localization/ui,Gain a {0} chance of skipping waves while still earning cash and coins equal to x1.10 the value of the wave enemies
asset,11756,localization/ui,Land Mines have a 40% chance to Stun for {0} (except Bosses)R
asset,11764,localization/ui,er Bosse)
asset,11773,localization/ui,Boss
asset,11796,localization/ui,Reduce the cooldown between waves by {0}6
asset,11857,localization/ui,Tiers
asset,11902,localization/ui,through Tier {0} to Tier {1}
asset,11921,localization/ui,"Unlock premium on tier {0}, tier {1}, and tier {2}"
asset,11965,localization/ui,"r den Tod zu markieren, wenn er spawnt, was dazu f"
asset,11979,localization/ui,sse garantiert superkrit.
asset,12016,localization/ui,Grants +{0} Coins / Kill Bonus per Free Upgrade this Wave. Free Upgrades cannot increase Tower Range.
asset,12043,localization/ui,"Sync Death Wave, Golden Tower, & Black Hole activations. Cooldown becomes the average of those {0}."
asset,12196,localization/ui,All cards are locked while a boss or Fleet enemy is alive
asset,12202,localization/ui,"Alle Karten sind gesperrt, solange ein Boss oder ein Flottengegner lebt.U"
asset,12338,localization/ui,You need the Death Wave Ultimate Weapon to research thisH
asset,12536,localization/ui,Reach wave {0} without any card equipped on tier {1} or above
asset,12746,localization/ui,Hit {0} enemies with Death Wave
asset,13161,localization/ui,"On Orb Hit: Reduces Enemy Damage & Speed by {0} (Stacking, Max 50%)."
asset,13189,localization/ui,On Land Mine Spawn: {0} chance to spawn an automatically organizing Inner Land Mine instead (Max 20).
asset,13197,localization/ui,"Landminen haben eine Chance von {0}, statt als normale Landmine als innere Landmine (20 max.) zu spawnen. Diese Minen bewegen sich autonom und organisieren sich um den Turm herum."
asset,13215,localization/ui,On Shockwave Hit: Enemies take {0} more Damage for 7s.
asset,13229,localization/ui,On Projectile Hit: {0} chance to reduce Enemy Health & Attack Level by 1 (Diminishing returns after 100).
asset,13311,localization/ui,Poisoned enemies have a {0} chance to Miss attacks (Halved for  Bosses).l
asset,13319,localization/ui,"Chance von {0}, dass vergiftete Gegner den Angriff verpassen. Boss-Chance ist halbiert."
asset,13323,localization/ui,Boss
asset,13327,localization/ui,"Spotlight focuses Bosses. Boss reflects light, applying {0} additional Damage Amp to nearby enemies."
asset,13334,localization/ui,Der Scheinwerfer fokussiert den Boss. Der Boss reflektiert Licht und verursacht {0} zus
asset,13600,localization/ui,"Bosses have a chance of dropping Reroll Shards, Common Modules or even Rare Modules"
asset,13606,localization/ui,"Bosse haben eine Chance, Zufallsscherben, gew"
asset,13670,localization/ui,"ltst, wird ein episches Modul garantiert"
asset,13950,localization/ui,Max Heat
asset,13961,localization/ui,This tournament has Heat applied.
asset,13969,localization/ui,Heat.
asset,13971,localization/ui,The Heat will level up as you reach higher waves.
asset,14005,localization/ui,Heat will rise at specific waves:
asset,14023,localization/ui,Heat Info
asset,14038,localization/ui,"r Bosse, Module fallen zu lassen"
asset,14173,localization/ui,"ht die Anzahl der Zufallsscherben, die Bosse fallen lassen"
asset,14228,localization/ui,"r Bosse, seltene Module fallen zu lassen"
asset,14261,localization/ui,Earn {0} medals during the Retrowave event
asset,14264,localization/ui,nement Synthwave.
asset,14265,localization/ui,Guadagna {0} medaglie durante l'evento Retrowave4
asset,14267,localization/ui,hrend des Retrowave-Events.
asset,14268,localization/ui,Gana {0} medallas durante el evento Retrowave.
asset,14272,localization/ui,Retrowave
asset,14417,localization/ui,Wave
asset,14553,localization/ui,Second Wind will recharge after a number of waves
asset,14566,localization/ui,Demon Mode will recharge after a number of wavesE
asset,14582,localization/ui,Missile Barrage will recharge after a number of waves
asset,14670,localization/ui,Nuke will recharge after a number of waves
asset,15109,localization/ui,Unlock Recovery Package Enhancements-
asset,15163,localization/ui,Enemy Level Skip +
asset,15187,localization/ui,ren von Elitegegnern verdiente Zellen
asset,15217,localization/ui,Multiplier applied to both Enemy Attack Level Skip and Enemy Health Level Skip workshop upgrades
asset,15341,localization/ui,Elite Cell
asset,15346,localization/ui,Elitezelle
asset,15350,localization/ui,lula de Elite
asset,15365,localization/ui,"Verwende Elitezellen, um die Laborforschung zu beschleunigenH"
asset,15416,localization/ui,Total Elites
asset,15420,localization/ui,Eliten insgesamt
asset,15423,localization/ui,Total de Elite
asset,15453,localization/ui,Elites
asset,15456,localization/ui,Eliten
asset,15459,localization/ui,Elites
asset,15582,localization/ui,Elite Tower
asset,15587,localization/ui,Eliteturm
asset,15590,localization/ui,Torre de Elite
asset,15927,localization/ui,Heating Up!
asset,15934,localization/ui,Wave Skipped!
asset,16160,localization/ui,"Beat wave 4,500 in Tier 16"
asset,16177,localization/ui,"Beat wave 4,500 in Tier 17"
asset,16194,localization/ui,"Beat wave 4,500 in Tier 18"
asset,16351,localization/ui,"Protector shields give knockback, shockwave, and black hole damage immunity ({0}s Duration / 300s Cooldown)"
asset,16400,localization/ui,"Panzer verhalten sich wie Bosse, bewegen sich aber nicht mehr, sobald sie in Turmreichweite sind ({0}"
asset,16417,localization/ui,Elite's Ultimate
asset,16422,localization/ui,Elite-Ultimativ
asset,16425,localization/ui,Definitiva de Elite
asset,16741,localization/ui,Unlock Tier {0}
asset,16836,localization/ui,Death Wave researches
asset,16906,localization/ui,Boss Enemy researches
asset,16909,localization/ui,Bossgegner-Forschungen
asset,16921,localization/ui,Enemy Level Skip researches
asset,17154,localization/ui,"Du wurdest von Turnieren gesperrt. Falls du glaubst, dass das ein Fehler war, kontaktiere bitte {0}"
asset,17189,localization/ui,{0} waves
asset,17354,localization/ui,Bonus from Death Wave
asset,17371,localization/ui,Enemy Health Levels Skipped
asset,17648,localization/ui,Unlock by reaching tier {0} wave {1}B
asset,17986,localization/ui,Heat Conditions
asset,18210,localization/ui,Boss's Ultimate
asset,18213,localization/ui,Boss Ultimativ
asset,18217,localization/ui,"Bosses receive a boost of health when they spawn, overhealing them by {0}"
asset,18221,localization/ui,"Bosse erhalten einen Leben-Boost, wenn sie spawnen, was sie mit {0}"
asset,18243,localization/ui,"Basics have a chance to spawn as different enemies ({0} fast, {1} tank, {2} ranged, {3} boss, {4} protector)"
asset,18255,localization/ui,"Einfache haben eine Chance, als unterschiedliche Gegner zu spawnen ({0} Schnell, {1} Panzer, {2} Fernkampf, {3} Boss, {4} Besch"
asset,18575,localization/ui,You need the Elite Cannon Mastery to research this
asset,18581,localization/ui,necessaria la Maestria del Cannone Elite.
asset,18583,localization/ui,"tigst die Elite-Kanonen-Meisterschaft, um dies zu erforschen."
asset,18588,localization/ui,o de Elite para pesquisar isso.
asset,18607,localization/ui,You need the Double Wave Skip Mastery to research this
asset,18670,localization/ui,You need the Elite Net Mastery to research this
asset,18672,localization/ui,trise Elite Net pour effectuer cette recherche.
asset,18674,localization/ui,necessario Elite Net Mastery.D
asset,18676,localization/ui,"tigst die Elite-Netzwerkbeherrschung, um dies zu erforschen.7"
asset,18677,localization/ui,Necesitas el dominio de Elite Net para investigar esto.
asset,18679,localization/ui,nio de Rede Elite para pesquisar isso.N
asset,18987,localization/ui,"r Eliten hinzu, Neuw"
asset,19050,localization/ui,"Adds a chance to double spawn elites, and unlocks Enemy Balance Mastery research|"
asset,19059,localization/ui,gt eine Chance auf doppeltes Spawnen von Eliten hinzu und schaltet Gegnergleichgewichts-Meisterschaftsforschung frei.
asset,19141,localization/ui,Plasma Cannon fires at Elite enemies for reduced damage and unlocks Elite Cannon Mastery research
asset,19153,localization/ui,Plasmakanone feuert auf Elitegegner f
asset,19154,localization/ui,r reduzierten Schaden und schaltet Elitekanone-Meisterschaftsforschung frei.
asset,19162,localization/ui,"o de Plasma atirar em inimigos de Elite, causando dano reduzido, e desbloqueia a pesquisa de Dom"
asset,19164,localization/ui,o de Elite
asset,19180,localization/ui,Adds a distinct chance to double wave skip and unlocks Double Wave Skip research. This chance can be stacked with other skips
asset,19195,localization/ui,Dramatically increase how many waves Intro Sprint stays active and unlocks Warp Speed Mastery research
asset,19235,localization/ui,"Unlocks Care Package which gives packages a chance to also deliver a common module, and unlocks Recovery Package Mastery research"
asset,19319,localization/ui,"Unlocks a lingering health regen buff when activated which lasts for 400 waves, and unlocks Angel Wings research"
asset,19342,localization/ui,"Unlocks a lingering damage buff when activated which lasts for 300 waves, and unlocks Demon Revenge research"
asset,19399,localization/ui,"Increases the rate at which spawn rates accelerate causing more enemies to spawn in earlier waves, and unlocks Wave Accelerator Mastery research"
asset,19411,localization/ui,"heren Wellen spawnen, und schaltet Wellenbeschleunigungs-Meisterschaftsforschung frei."
asset,19468,localization/ui,Unlocks a lingering attack speed slow which lasts for 300 waves after the nuke and unlocks Radiation research.
asset,19548,localization/ui,"r Eliten, Neuw"
asset,19586,localization/ui,Chance for a double elite spawn to occur+
asset,19592,localization/ui,Chance auf das Stattfinden eines Doppel-Elite-Spawns=
asset,19663,localization/ui,Percent chance to double wave skip
asset,19672,localization/ui,Increases how many waves Intro Sprint stays active
asset,19760,localization/ui,Increases the rate at which spawn rates accelerate
asset,19800,localization/ui,Slows enemy attack speed for 300 waves
asset,19893,localization/ui,"r Eliten, Neuw"
asset,19949,localization/ui,Increases chance for double elite spawn to occur8
asset,19955,localization/ui,ht die Chance auf einen Doppel-Elite-Spawn
asset,20026,localization/ui,t von Plasmakanonen bei Elite
asset,20044,localization/ui,Increases double wave skip chance
asset,20053,localization/ui,Increases the multiplier of Intro Sprint Warp Speed
asset,20150,localization/ui,Increases the Wave Accelerator spawn rate acceleration
asset,20240,localization/ui,Elite Farming
asset,20245,localization/ui,Eliteanbau
asset,20249,localization/ui,mulo de Elite
asset,20274,localization/ui,Elite Balance
asset,20279,localization/ui,Elitegleichgewicht
asset,20283,localization/ui,brio de Elite
asset,20314,localization/ui,Elite Cannon
asset,20319,localization/ui,Elitekanone
asset,20323,localization/ui,o de Elite
asset,20333,localization/ui,Double Wave Skip
asset,20587,localization/ui,Wave Skip Mastery
asset,20596,localization/ui,Intro Sprint Mastery
asset,20676,localization/ui,Wave Accelerator Mastery&
asset,20746,localization/ui,Increase tower max health by 0.05% when an enemy is hit by Effect Waves or Death Wave is destroyed (Max of {0} base health)
asset,20775,localization/ui,Extra coins bonus applied to enemies hit by Effect Waves or Death Wave
asset,20787,localization/ui,Extra cells bonus applied to elites hit by Effect Waves or Death Wave
asset,20796,localization/ui,"r Eliten, die durch Effektwellen oder Todeswelle getroffen werdenm"
asset,20803,localization/ui,Each Effect Wave hit amplifies damage that enemy takes from Death Wave (additively)
asset,20814,localization/ui,Each Effect Wave hit strips armor from the enemy1
asset,20822,localization/ui,Death Wave Cells Bonus
asset,20831,localization/ui,Death Wave Damage Amplifier
asset,20841,localization/ui,Death Wave Armor Stripping
asset,20858,localization/ui,Effect Wave Hits amplify Death Wave Damage (additive).
asset,21150,localization/ui,Boss Stats
asset,21153,localization/ui,Boss-Statistiken
asset,21205,localization/ui,Reach wave {0} without any card equipped on tier {1} or above
asset,21483,localization/ui,Enemy Health Skip
asset,22743,localization/ui,End Intro Sprint Early
asset,22753,localization/ui,Are you sure that you want to end Intro Sprint early?
asset,22762,localization/ui,Intro Sprint
asset,23102,localization/ui,Enemy Health Level Skip Bonus
asset,24728,localization/ui,Tower guardian increases the speed of the wave timerC
asset,24947,localization/ui,On Hit: 1% chance to reduce Enemy Mass by {0} (Non-stacking).
asset,25006,localization/ui,Fire {0} Inner Land Mines at Bosses entering Tower Range (25% chance to spawn for Elites).
asset,25014,localization/ui,"Feuer {0} Innere Landminen bei Bossen, die in den Turmbereich eintreten (25% Chance, dass Elitegegner erscheinen)."
asset,25018,localization/ui,Fogo {0} Minas terrestres internas em chefes que entram no alcance da torre (25% de chance de aparecer para Elites).
asset,25227,localization/ui,Ce jeu utilise des services d'analyse et de pub de tiers.
asset,25453,localization/ui,Es existiert bereits ein Konto mit der Spieler-ID {0}.
asset,25563,localization/ui,Tier 2 Power Tree
asset,25586,localization/ui,Tier 3 Power Tree
asset,25690,localization/ui,Shockwave Frequency
asset,25699,localization/ui,-{0}s to shockwave frequency%
asset,25739,localization/ui,Interest / Wave
asset,25747,localization/ui,{0}% boost to interest / wave
asset,25811,localization/ui,Cash / Wave
asset,25818,localization/ui,{0}% boost to cash / wave
asset,25877,localization/ui,Coins / Wave
asset,25884,localization/ui,{0}% boost to coins / wave
asset,25901,localization/ui,Enemy Level Skip
asset,26391,localization/ui,Percent of Enemy Health
asset,26484,localization/ui,Tier {0} Power Tree requires {1} power nodes be unlocked and {2} tier 2 levels
asset,26749,localization/ui,"gerischer Weise nutzt, keine Cheats/Hacks/Exploits diskutiert oder verwendet, sich nicht am Verkauf/Kauf von Konten beteiligt und/oder keine Handlungen vornimmt, die darauf abzielen, andere zu diffamieren, zu beleidigen oder zu entmenschlichen. Jegliche illegalen Aktivit"
asset,27040,localization/ui,Es existiert bereits ein Konto mit dieser E-Mail-Adresse.
asset,27335,localization/ui,On Boss/Elite Kill: Increases Tower Damage by 5x for {0}.
asset,27343,localization/ui,ten eines Bosses oder Elite-Gegners erh
asset,27357,localization/ui,Add {0} Electrons orbiting the Tower. Deals 15% Remaining Health Damage (quarter effective vs. Bosses/Fleets).
asset,27386,localization/ui,On Recovery Package: Grants +50% Attack Speed for {0} (Decays over 60s).~
asset,27417,localization/ui,"Active Battle: Tier {0}, Wave {1}"
asset,27479,localization/ui,Tier {0} Power Tree requires {1} power nodes be unlockedT
asset,28012,localization/ui,Sentiero sicuro
asset,28380,localization/ui,Beat wave 30 to unlock Labs!3
asset,28603,localization/ui,% Schaden bei Bossen).
asset,29019,localization/ui,Enemy Level Skip Reduction
asset,29047,localization/ui,Boss's Ultimate
asset,29050,localization/ui,Boss-Ultimativ
asset,29086,localization/ui,Enemy Speed
asset,29221,localization/ui,Reduces the effect of the Enemy Level Skip Reduction battle condition by a percentage.
asset,29260,localization/ui,Reduces the effect of the Boss's Ultimate battle condition by a percentage.
asset,29264,localization/ui,Boss-Ultimativ
asset,29319,localization/ui,Reduces the effect of the Enemy Speed battle condition by a percentage.
asset,29491,localization/ui,Ray Enemy Health
asset,29506,localization/ui,Vampire Enemy Health
asset,29520,localization/ui,Scatter Enemy Health
asset,29535,localization/ui,Decreases Ray enemy attack at all waves.<
asset,29544,localization/ui,Decreases Ray enemy health at all waves.>
asset,29554,localization/ui,Decreases Vampire enemy attack at all waves.4
asset,29562,localization/ui,Decreases Vampire enemy health at all waves.6
asset,29571,localization/ui,Decreases Scatter enemy attack at all waves.3
asset,29579,localization/ui,Decreases Scatter enemy health at all waves.5
asset,29588,localization/ui,Decreases Ranged enemy range at all waves.
asset,29727,localization/ui,Elite enemies researches#
asset,29732,localization/ui,Elitegegner-Forschungen
asset,29735,localization/ui,Pesquisas de Inimigos de Elite
asset,30207,localization/ui,Beat wave {0} in Tier {1}
asset,30288,localization/ui,20x Basic Enemy Health. On Tower Impact: Disables 1 random Ultimate Weapon (Restores On Kill).
asset,30306,localization/ui,20x Basic Enemy Health. Empowers enemies and increases Health within Range.
asset,30322,localization/ui,20x Basic Enemy Health. Fires a returning Projectile at the Tower (Damage doubles per subsequent hit).
asset,30367,localization/ui,Fleets
asset,30382,localization/ui,Surviving enemies mass increases by {0} per wave they are alive
asset,30424,localization/ui,Reach Tier 19 Wave 40 to unlock Assist Modules
asset,30496,localization/ui,"Capped Substats: Shockwave Frequency, Wall Rebuild. Chrono Field Speed Reduction, Inner Land Mine Cooldown"
asset,30531,localization/ui,"Beat wave 4,500 in Tier 19"
asset,30548,localization/ui,"Beat wave 4,500 in Tier 20"
asset,30565,localization/ui,"Beat wave 4,500 in Tier 21"
asset,30638,localization/ui,Gib {0} zum Akzeptieren ein.*
asset,31211,localization/ui,Max Wave
asset,31316,localization/ui,Tagged by Death Wave!
asset,31322,localization/ui,Death Wave
asset,31435,localization/ui,"Battle History keeps track of your last 30 runs, including tier and tournament battles. You can click on an entry to view the end of round stats from that attempt."
asset,31554,localization/ui,Sentiero stellare
asset,31975,localization/ui,Oder kontaktiere uns unter: {0}
asset,32054,localization/ui,Enemy health and attack level skip chances are reduced by {0} every {1} waves
asset,32093,localization/ui,Scale Damage by enemy HP. Edit via Damage Stat in battle. Disabled during Intro Sprint
asset,32378,localization/ui,Unlock access to Premium milestone track rewards. Progress to earn:
asset,32391,localization/ui,Through Tier {0} to Tier {1}
asset,32832,localization/ui,Labs grant you incremental upgrades to different parts of the game. Unlock research by completing Tier milestones. Start a lab by selecting a research and spending coins.
asset,33022,localization/ui,Heat
asset,33029,localization/ui,Overheat
asset,33046,localization/ui,Overheat Incoming
